{'n': 3, 'counts': {'0': 0, '1/6': 1, '1/3': 1, '1/2': 1, '2/3': 1, '5/6': 1}, 'baseline': 0}
{'n': 4, 'counts': {'0': 2, '1/6': 2, '1/3': 2, '1/2': 2, '2/3': 2, '5/6': 2}, 'baseline': 2}
{'n': 5, 'counts': {'0': 4, '1/6': 4, '1/3': 4, '1/2': 4, '2/3': 4, '5/6': 4}, 'baseline': 4}
{'n': 6, 'counts': {'0': 6, '1/6': 7, '1/3': 7, '1/2': 6, '2/3': 7, '5/6': 7}, 'baseline': 6}
{'n': 7, 'counts': {'0': 10, '1/6': 10, '1/3': 10, '1/2': 10, '2/3': 10, '5/6': 10}, 'baseline': 10}
{'n': 8, 'counts': {'0': 14, '1/6': 14, '1/3': 14, '1/2': 14, '2/3': 14, '5/6': 14}, 'baseline': 14}
{'n': 9, 'counts': {'0': 18, '1/6': 19, '1/3': 19, '1/2': 18, '2/3': 19, '5/6': 19}, 'baseline': 18}
{'n': 10, 'counts': {'0': 24, '1/6': 24, '1/3': 24, '1/2': 24, '2/3': 24, '5/6': 24}, 'baseline': 24}
{'n': 11, 'counts': {'0': 30, '1/6': 30, '1/3': 30, '1/2': 30, '2/3': 30, '5/6': 30}, 'baseline': 30}
{'n': 12, 'counts': {'0': 36, '1/6': 37, '1/3': 37, '1/2': 36, '2/3': 37, '5/6': 37}, 'baseline': 36}
{'n': 13, 'counts': {'0': 44, '1/6': 44, '1/3': 44, '1/2': 44, '2/3': 44, '5/6': 44}, 'baseline': 44}
{'n': 14, 'counts': {'0': 52, '1/6': 52, '1/3': 52, '1/2': 52, '2/3': 52, '5/6': 52}, 'baseline': 52}
{'n': 15, 'counts': {'0': 60, '1/6': 61, '1/3': 61, '1/2': 60, '2/3': 61, '5/6': 61}, 'baseline': 60}
{'n': 16, 'counts': {'0': 70, '1/6': 70, '1/3': 70, '1/2': 70, '2/3': 70, '5/6': 70}, 'baseline': 70}
{'n': 17, 'counts': {'0': 80, '1/6': 80, '1/3': 80, '1/2': 80, '2/3': 80, '5/6': 80}, 'baseline': 80}
{'n': 18, 'counts': {'0': 90, '1/6': 91, '1/3': 91, '1/2': 90, '2/3': 91, '5/6': 91}, 'baseline': 90}
{'n': 19, 'counts': {'0': 102, '1/6': 102, '1/3': 102, '1/2': 102, '2/3': 102, '5/6': 102}, 'baseline': 102}
{'n': 20, 'counts': {'0': 114, '1/6': 114, '1/3': 114, '1/2': 114, '2/3': 114, '5/6': 114}, 'baseline': 114}
{'n': 21, 'counts': {'0': 126, '1/6': 127, '1/3': 127, '1/2': 126, '2/3': 127, '5/6': 127}, 'baseline': 126}
{'n': 22, 'counts': {'0': 140, '1/6': 140, '1/3': 140, '1/2': 140, '2/3': 140, '5/6': 140}, 'baseline': 140}
{'n': 23, 'counts': {'0': 154, '1/6': 154, '1/3': 154, '1/2': 154, '2/3': 154, '5/6': 154}, 'baseline': 154}
{'n': 24, 'counts': {'0': 168, '1/6': 169, '1/3': 169, '1/2': 168, '2/3': 169, '5/6': 169}, 'baseline': 168}
{'n': 25, 'counts': {'0': 184, '1/6': 184, '1/3': 184, '1/2': 184, '2/3': 184, '5/6': 184}, 'baseline': 184}
{'n': 26, 'counts': {'0': 200, '1/6': 200, '1/3': 200, '1/2': 200, '2/3': 200, '5/6': 200}, 'baseline': 200}
{'n': 27, 'counts': {'0': 216, '1/6': 217, '1/3': 217, '1/2': 216, '2/3': 217, '5/6': 217}, 'baseline': 216}
{'n': 28, 'counts': {'0': 234, '1/6': 234, '1/3': 234, '1/2': 234, '2/3': 234, '5/6': 234}, 'baseline': 234}
{'n': 29, 'counts': {'0': 252, '1/6': 252, '1/3': 252, '1/2': 252, '2/3': 252, '5/6': 252}, 'baseline': 252}
{'n': 30, 'counts': {'0': 270, '1/6': 271, '1/3': 271, '1/2': 270, '2/3': 271, '5/6': 271}, 'baseline': 270}
{'n': 31, 'counts': {'0': 290, '1/6': 290, '1/3': 290, '1/2': 290, '2/3': 290, '5/6': 290}, 'baseline': 290}
{'n': 32, 'counts': {'0': 310, '1/6': 310, '1/3': 310, '1/2': 310, '2/3': 310, '5/6': 310}, 'baseline': 310}
{'n': 33, 'counts': {'0': 330, '1/6': 331, '1/3': 331, '1/2': 330, '2/3': 331, '5/6': 331}, 'baseline': 330}
{'n': 34, 'counts': {'0': 352, '1/6': 352, '1/3': 352, '1/2': 352, '2/3': 352, '5/6': 352}, 'baseline': 352}
{'n': 35, 'counts': {'0': 374, '1/6': 374, '1/3': 374, '1/2': 374, '2/3': 374, '5/6': 374}, 'baseline': 374}
{'n': 36, 'counts': {'0': 396, '1/6': 397, '1/3': 397, '1/2': 396, '2/3': 397, '5/6': 397}, 'baseline': 396}
